dataset,method,classifier,rep,penalty_margin,penalty_d
pima,mutual_info,rf,11,0.0849126843552453,0.066523594543367
pima,mutual_info,rf,12,0.0475028087264031,0.0557236794032535
pima,mutual_info,rf,13,0.0412183068954606,0.035558196608485
pima,mutual_info,rf,14,0.0573924520654176,0.0383406253391381
pima,mutual_info,rf,15,0.043262506800656,0.0413124182167336
pima,mutual_info,rf,16,0.0404630808839282,0.0351268472615537
pima,mutual_info,rf,17,0.0547217599938151,0.0441853445396468
pima,mutual_info,rf,18,0.0636076981550836,0.0638944462538895
pima,mutual_info,rf,19,0.053155403075972,0.0210940198557012
pima,mutual_info,rf,20,0.0473820131401842,0.0719330567922285
pima,mutual_info,rf,21,0.0421372576607602,0.0479576836940899
pima,mutual_info,rf,22,0.0502171187805972,0.0422789065329629
pima,mutual_info,rf,23,0.0561250920052508,0.0354339314031827
pima,mutual_info,rf,24,0.0629082663756702,0.050330016499112
pima,mutual_info,rf,25,0.0426558949106824,0.0558386933990585
pima,mutual_info,rf,26,0.0518218643868611,0.0388678113769796
pima,mutual_info,rf,27,0.0436667670133544,0.0334413910878145
pima,mutual_info,rf,28,0.0515555988255171,0.0697257956468279
pima,mutual_info,rf,29,0.0602452727324793,0.0588212882710706
pima,mutual_info,logistic,0,0.0073849084865871,0.0053225773905696
pima,mutual_info,logistic,1,0.0105993453617719,0.0043408850199231
pima,mutual_info,logistic,2,0.0175767130773697,0.0017826386286325
pima,mutual_info,logistic,3,0.0186410705791211,0.0087537065027063
pima,mutual_info,logistic,4,0.0172326372168128,0.0033299208138343
pima,mutual_info,logistic,5,0.0101127863771438,-0.0010708365893322
pima,mutual_info,logistic,6,0.010308259285231,0.0079912394452228
pima,mutual_info,logistic,7,0.0115394764788549,0.0021451541272935
pima,mutual_info,logistic,8,0.0043485846771682,0.0039925138730624
pima,mutual_info,logistic,9,0.0176543137257264,0.0143642540803897
pima,mutual_info,logistic,10,0.0040473909952229,0.0078725848739833
pima,mutual_info,logistic,11,0.0118705306542995,0.0041776306039542
pima,mutual_info,logistic,12,0.0051500615943051,-0.0012649682376222
pima,mutual_info,logistic,13,0.0152612906186755,0.0047146179795653
pima,mutual_info,logistic,14,0.0110491743915217,0.0034525144680956
pima,mutual_info,logistic,15,0.0220054099437279,0.0107665204084969
pima,mutual_info,logistic,16,0.0129599654726332,0.0072697308490134
pima,mutual_info,logistic,17,0.0082702372926537,0.002092350325717
pima,mutual_info,logistic,18,0.0113104716745572,0.0017913311567073
pima,mutual_info,logistic,19,0.0151521792859897,0.0009947923315402
pima,mutual_info,logistic,20,0.0126929685806496,0.00904529661006
pima,mutual_info,logistic,21,0.0078933995450757,0.0066183288678383
pima,mutual_info,logistic,22,0.0057454397340767,0.0030124798592845
pima,mutual_info,logistic,23,0.0065180999537537,0.0046351867504502
pima,mutual_info,logistic,24,0.0206594528494309,0.0128723832859787
pima,mutual_info,logistic,25,0.0169865986896961,0.0040722864112222
pima,mutual_info,logistic,26,0.0173440821337855,-0.0001355368134252
pima,mutual_info,logistic,27,0.0202534942880066,0.0065419318262192
pima,mutual_info,logistic,28,0.0141488718162218,0.0132492822311295
pima,mutual_info,logistic,29,0.0144001063794766,0.0048823613974607
pima,rf_importance,rf,0,0.0493620781954565,0.0341721995512304
pima,rf_importance,rf,1,0.0481603341307576,0.0513200029391328
pima,rf_importance,rf,2,0.0508578237522431,0.0213550514401103
pima,rf_importance,rf,3,0.0443561117732341,0.0200388600014863
pima,rf_importance,rf,4,0.049954629497055,0.0482544833526009
pima,rf_importance,rf,5,0.0570220861263668,0.0703218573636686
pima,rf_importance,rf,6,0.0535515894995697,0.0560773604910647
pima,rf_importance,rf,7,0.049093780783046,0.0513799988601682
pima,rf_importance,rf,8,0.0509243779707309,0.0668449540130705
pima,rf_importance,rf,9,0.0508183500785691,0.0616281774919744
pima,rf_importance,rf,10,0.0373366791009659,0.0421140902758761
pima,rf_importance,rf,11,0.0563099545505517,0.0605729304215906
pima,rf_importance,rf,12,0.0620799550121966,0.0408762762129923
pima,rf_importance,rf,13,0.0610969376944916,0.0557479888128509
pima,rf_importance,rf,14,0.0429830667868902,0.0238925345362893
pima,rf_importance,rf,15,0.053013730413118,0.0363000889554371
pima,rf_importance,rf,16,0.0379007908094482,0.0791523378127669
pima,rf_importance,rf,17,0.0541039142807389,0.0115901355411141
pima,rf_importance,rf,18,0.0637308381373634,0.0225507793753599
pima,rf_importance,rf,19,0.0381597525750605,0.0327477166092477
pima,rf_importance,rf,20,0.0535346713017464,0.0435683151612329
pima,rf_importance,rf,21,0.0524905913588755,0.0725085735599489
pima,rf_importance,rf,22,0.0544111787833495,0.0585692892149858
pima,rf_importance,rf,23,0.0401441929426401,0.0583647353266918
pima,rf_importance,rf,24,0.0590480054204025,0.0293378689797928
pima,rf_importance,rf,25,0.0482296265966701,0.0323802083902502
pima,rf_importance,rf,26,0.0356381959510804,0.0332536324199854
pima,rf_importance,rf,27,0.0435322453253808,0.0497291390697672
pima,rf_importance,rf,28,0.0498936004758025,0.0415693321968532
pima,rf_importance,rf,29,0.0616132711576229,0.0547444375076931
pima,rf_importance,logistic,0,0.0046365586997561,0.0040278320964002
pima,rf_importance,logistic,1,0.0121868402738124,0.0040423847246404
pima,rf_importance,logistic,2,0.006778297836707,0.0044290289300218
pima,rf_importance,logistic,3,0.0055837249300273,0.0010426442300716
pima,rf_importance,logistic,4,0.005569264191734,0.0082241180159881
pima,rf_importance,logistic,5,0.0094045325216583,0.0011810282243548
